State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,1517542,550219,445100,949.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,956313,314253,242961,951.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,1228686,435942,359355,963.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,887142,275220,214085,959.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,1042137,375552,307934,968.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,2823768,921850,788866,962.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,771639,293184,238587,949.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,1924110,620525,488047,956.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,1327929,453449,344873,952.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,2811569,727643,468125,921.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,2540073,868733,597269,926.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,3701282,1430936,1072901,923.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,2034763,590961,374360,907.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,2970541,918507,630166,895.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,3037766,937669,635397,880.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,2728407,973486,625665,907.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,1706352,593544,396263,922.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,BIHAR,3937385,1125566,691068,911.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,BIHAR,4391418,1368803,928810,937.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,BIHAR,2562012,793905,589093,1021.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,BIHAR,1760405,534385,324203,922.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,BIHAR,1125313,374412,244469,922.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,BIHAR,3071029,762256,517934,919.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,BIHAR,1666886,461153,306875,886.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,BIHAR,1690400,439921,305135,950.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,BIHAR,1000912,305182,202088,902.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,BIHAR,2001762,517666,316911,911.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,BIHAR,4487379,1340085,815253,926.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,BIHAR,1367765,473741,328076,876.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,BIHAR,4801062,1487117,1022115,900.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,BIHAR,2877653,919558,600375,922.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,BIHAR,2219146,659474,431538,939.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,BIHAR,3935042,1091226,668255,909.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,BIHAR,5838465,2028047,1431632,897.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,BIHAR,5099371,1407603,869354,902.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,BIHAR,3264619,805261,527065,921.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,BIHAR,2959918,1061783,738049,918.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,BIHAR,1900661,506374,298622,906.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,BIHAR,4261566,1293575,849305,911.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,BIHAR,3951862,1285767,871687,954.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,BIHAR,636342,196431,132245,930.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,BIHAR,656246,171645,112053,893.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,BIHAR,3423574,885188,551606,899.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,BIHAR,3330464,1115906,814269,988.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,BIHAR,2229076,647672,385611,929.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,BIHAR,3495021,1152576,774164,895.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,CHANDIGARH,1055450,465346,340092,818.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,CHHATTISGARH,1413199,382335,268528,1023.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,HIMACHAL PRADESH,381956,155599,132021,981.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,CHHATTISGARH,2663629,932474,664086,971.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,CHHATTISGARH,799781,303924,242909,1010.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,CHHATTISGARH,3343872,1284612,1018766,988.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,CHHATTISGARH,851669,280656,214759,1005.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,CHHATTISGARH,1206640,433391,315368,969.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,CHHATTISGARH,658917,229923,167900,968.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,CHHATTISGARH,1032754,364089,273874,1017.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,CHHATTISGARH,1493984,542756,408883,991.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,MAHARASHTRA,2634200,1059692,880302,959.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,CHHATTISGARH,4063872,1493158,1136591,984.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,CHHATTISGARH,2359886,694686,493255,978.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,DAMAN AND DIU,191173,104316,46032,534.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,GUJARAT,2743082,1046981,795837,953.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,GOA,818008,351738,311322,963.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,GOA,640537,264085,238342,986.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,GUJARAT,7214225,3025463,2410297,904.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,GUJARAT,1514190,558180,437279,964.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,GUJARAT,2092745,874481,676772,925.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,GUJARAT,3120506,1048402,656521,938.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,GUJARAT,1551019,623047,495229,925.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,GUJARAT,2880365,1087371,799884,933.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,GUJARAT,1391753,582686,447808,923.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,GUJARAT,2160119,795140,601394,939.0,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,GUJARAT,2743082,1046981,795837,953.0,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,GUJARAT,2092371,739239,513080,908.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,GUJARAT,2299885,942480,717763,940.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,GUJARAT,2035064,847499,655146,926.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,GUJARAT,590297,211767,158569,961.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,GUJARAT,1329672,539471,462438,961.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,GUJARAT,2390776,858054,582751,949.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,GUJARAT,1343734,494631,343282,935.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,GUJARAT,585449,221621,172057,950.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,GUJARAT,3804558,1514075,1210981,927.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,GUJARAT,2428589,918625,660109,952.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,GUJARAT,6081322,2687468,1883942,787.0,75.0
